sample	host	date	country	province_state	region	location	host_country	other_sample_id
deer/USA/NC-22-006202-065/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/MN-22-006202-069/2021	White-tailed deer	2021-12-07	USA	Minnesota		USA-MN	White-tailed deer|USA	
deer/USA/NC-22-006202-070/2021	White-tailed deer	2021-11-19	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NY-22-006202-089/2021	White-tailed deer	2021-11-21	USA	New York		USA-NY	White-tailed deer|USA	
deer/USA/NJ-22-006202-092/2021	White-tailed deer	2021-12-08	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NY-22-006202-095/2021	White-tailed deer	2021-11-23	USA	New York		USA-NY	White-tailed deer|USA	
deer/USA/MA-22-006202-006/2021	White-tailed deer	2021-11-30	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/IL-22-006202-007/2021	White-tailed deer	2021-12-03	USA	Illinois		USA-IL	White-tailed deer|USA	
deer/USA/NJ-22-006202-008/2021	White-tailed deer	2021-12-08	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NC-22-006202-018/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/PA-22-006202-024/2021	White-tailed deer	2021-11-29	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/NJ-22-006202-019/2021	White-tailed deer	2021-12-23	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/MA-22-006202-031/2021	White-tailed deer	2021-11-29	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-006202-039/2021	White-tailed deer	2021-12-04	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/PA-22-006202-025/2021	White-tailed deer	2021-12-10	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/NC-22-006202-027/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-002350-001/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-002350-004/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/MA-22-002350-014/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-001705-030/2021	White-tailed deer	2021-11-29	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/NC-22-001705-018/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/MA-22-001705-020/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/PA-22-001705-013/2021	White-tailed deer	2021-11-30	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/MA-22-003833-022/2021	White-tailed deer	2021-11-30	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/PA-22-000890-032/2021	White-tailed deer	2021-12-07	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/NJ-22-000890-015/2021	White-tailed deer	2021-12-08	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NC-22-000890-026/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/MA-22-001705-005/2021	White-tailed deer	2021-11-29	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-001705-003/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-001705-006/2021	White-tailed deer	2021-12-01	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/NC-22-002350-022/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-002350-019/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-002350-021/2021	White-tailed deer	2021-12-07	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-002350-018/2021	White-tailed deer	2021-12-07	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/MA-22-002350-023/2021	White-tailed deer	2021-12-04	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MN-22-002350-028/2021	White-tailed deer	2021-12-01	USA	Minnesota		USA-MN	White-tailed deer|USA	
deer/USA/NJ-22-002350-020/2021	White-tailed deer	2021-12-07	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/MA-22-002350-029/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-002350-017/2021	White-tailed deer	2021-12-04	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-002350-010/2021	White-tailed deer	2021-11-29	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/LA-22-002350-005/2021	White-tailed deer	2021-12-17	USA	Louisiana		USA-LA	White-tailed deer|USA	
deer/USA/MA-22-002350-006/2021	White-tailed deer	2021-12-02	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-002350-009/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/PA-22-003833-019/2021	White-tailed deer	2021-12-03	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/PA-22-003833-006/2021	White-tailed deer	2021-12-04	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/PA-22-003833-009/2021	White-tailed deer	2021-12-07	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/NC-22-003833-004/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-003833-013/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-003833-029/2021	White-tailed deer	2021-11-20	USA	New York		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-003833-024/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-003833-025/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-003833-014/2021	White-tailed deer	2021-12-13	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NC-22-003833-021/2021	White-tailed deer	2021-11-20	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/MA-22-003833-012/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-003833-015/2021	White-tailed deer	2021-12-01	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/NY-22-003833-003/2021	White-tailed deer	2021-11-21	USA	New York		USA-NY	White-tailed deer|USA	
deer/USA/PA-22-000890-019/2021	White-tailed deer	2021-11-29	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/MA-22-003833-028/2021	White-tailed deer	2021-12-04	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/NJ-22-003833-020/2021	White-tailed deer	2021-12-11	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NC-22-000890-011/2021	White-tailed deer	2021-11-21	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/PA-22-000890-002/2021	White-tailed deer	2021-12-10	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/NC-22-000890-005/2021	White-tailed deer	2021-11-19	USA	North Carolina		USA-NC	White-tailed deer|USA	
deer/USA/NJ-22-000890-016/2021	White-tailed deer	2021-12-07	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NJ-22-000890-012/2021	White-tailed deer	2021-12-07	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NJ-22-000890-006/2021	White-tailed deer	2021-12-11	USA	New Jersey		USA-NJ	White-tailed deer|USA	
deer/USA/NY-22-000890-009/2021	White-tailed deer	2021-11-21	USA	New York		USA-NY	White-tailed deer|USA	
deer/USA/MA-22-000890-024/2021	White-tailed deer	2021-12-01	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/MA-22-000890-028/2021	White-tailed deer	2021-12-03	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/AR-22-000890-004/2021	White-tailed deer	2021-12-01	USA	Arkansas		USA-AR	White-tailed deer|USA	
deer/USA/NY-22-001705-016/2021	White-tailed deer	2021-11-30	USA	New York		USA-NY	White-tailed deer|USA	
deer/USA/IL-22-001705-019/2021	White-tailed deer	2021-11-21	USA	Illinois		USA-IL	White-tailed deer|USA	
deer/USA/NY-22-001705-011/2021	White-tailed deer	2021-11-22	USA	New York		USA-NY	White-tailed deer|USA	
deer/USA/TN-22-001705-022/2021	White-tailed deer	2021-12-04	USA	Tennessee		USA-TN	White-tailed deer|USA	
deer/USA/PA-22-001705-032/2021	White-tailed deer	2021-11-29	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/MA-22-001705-031/2021	White-tailed deer	2021-12-02	USA	Massachusetts		USA-MA	White-tailed deer|USA	
deer/USA/IL-22-001705-029/2021	White-tailed deer	2021-12-03	USA	Illinois		USA-IL	White-tailed deer|USA	
deer/USA/PA-22-003833-002/2021	White-tailed deer	2021-12-07	USA	Pennsylvania		USA-PA	White-tailed deer|USA	
deer/USA/MA-22-003833-032/2021	White-tailed deer	2021-12-04	USA	Massachusetts		USA-MA	White-tailed deer|USA	
MZ778090.1	Human	2021-08-06	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_5IW5UTDXUN7AOCQU/2021
MZ778136.1	Human	2021-08-06	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_SO2IHR6YNWKCJN4Y/2021
MZ801696.1	Human	2021-08-07	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_AUR4GTIC2ZMQ3ZLV/2021
MZ831124.1	Human	2021-08-10	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_4IHFAXEAE5F6TANS/2021
MZ831131.1	Human	2021-08-09	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_5H6RL6A32MFYNCN2/2021
MZ831138.1	Human	2021-08-09	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_7VCLRORHOIPFO66B/2021
MZ831153.1	Human	2021-08-09	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_EUTCVQKUL5VOZBCL/2021
MZ831164.1	Human	2021-08-10	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_IVJSX6MOP5EQIZFH/2021
MZ831171.1	Human	2021-08-09	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_LZKAT6PIIUOE7ORV/2021
MZ839391.1	Human	2021-08-13	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_24YRWZD4TXLNFGGR/2021
MZ839428.1	Human	2021-08-13	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_KWP3WLUGM2KQGZQJ/2021
MZ839443.1	Human	2021-08-13	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_SHIKTLGSKTR4CFY6/2021
MZ839450.1	Human	2021-08-13	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_UQS4ILC3ZJ7RH5AW/2021
MZ839452.1	Human	2021-08-12	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_V6FHLZEXJSDAYK7S/2021
MZ934190.1	Human	2021-08-16	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_2CDYU2RU63EZEM2L/2021
MZ934210.1	Human	2021-08-16	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_7TPUX2HH3L3HKIYE/2021
MZ934236.1	Human	2021-08-16	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_FXJRSVFWTISHNWTH/2021
MZ934251.1	Human	2021-08-17	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_L6YXTFMLHZXFFVW6/2021
MZ934268.1	Human	2021-08-17	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_QEOEBO52UPAMUSK5/2021
MZ934287.1	Human	2021-08-17	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_TCM6ZOEHQAUBEYF4/2021
MZ934302.1	Human	2021-08-17	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_XENENIGVTORWRRGG/2021
MZ948705.1	Human	2021-08-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_5YSPETKM2IEROLWS/2021
MZ948729.1	Human	2021-08-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_G3OJXTLK6M6GWAXD/2021
MZ948751.1	Human	2021-08-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_MJ2A5NKFV3DVUIGB/2021
MZ948766.1	Human	2021-08-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_QKDYF6VGGVVBPDJ5/2021
MZ948772.1	Human	2021-08-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_S6L25LHWG7KORO6A/2021
MZ948796.1	Human	2021-08-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_ZLZUMVOBNHVGZPIE/2021
MZ983317.1	Human	2021-08-23	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_5MRVFUTUG275KNB4/2021
MZ983349.1	Human	2021-08-23	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_R7H36VPY52WGI3XJ/2021
MZ983352.1	Human	2021-08-23	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_TWAYUASGSTQPYMRW/2021
OK020938.1	Human	2021-08-25	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_NA5EGK2I3VOKITNN/2021
OK021503.1	Human	2021-08-23	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_LGIHBTDXOEE2ZZQR/2021
OK021524.1	Human	2021-08-24	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_VRYTN5ED74HRT4VY/2021
OK034569.1	Human	2021-08-26	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_DOPIPOLUKVITUHYC/2021
OK035053.1	Human	2021-08-26	USA	Nebraska		USA-NH	Human|USA	USA/NH-CDCBI-CRSP_NBWZNVZSPJWNDJJO/2021
OK035071.1	Human	2021-08-27	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_6OW3YJHFDEAYPOSQ/2021
OK035123.1	Human	2021-08-26	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_KU2NE2HF7JGMBVUD/2021
OK035160.1	Human	2021-08-26	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_TRAQ5FJLQWYVAHCC/2021
OK035176.1	Human	2021-08-26	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_Z3QKFANE5WS2WMHN/2021
OK036272.1	Human	2021-08-29	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_RBTSAXWC7HWZMQUT/2021
OK088240.1	Human	2021-08-31	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_AKY7O55DQGOE4XFV/2021
OK088791.1	Human	2021-09-01	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_6IHREKLHC7RQMXAX/2021
OK089306.1	Human	2021-09-04	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_547EWDUNMCDYOVCV/2021
OK089307.1	Human	2021-09-04	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_5F6BUIKMCLB56KY7/2021
OK089353.1	Human	2021-09-04	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_TZWKP5Y4VVT23WW5/2021
OK089361.1	Human	2021-09-04	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_X6H5QFLZDKJ2RO7J/2021
OK089805.1	Human	2021-09-03	USA	Massachusetts		USA-ME	Human|USA	USA/ME-CDCBI-CRSP_LDR2UZZ2YBVINSGY/2021
OK119356.1	Human	2021-08-17	USA	Florida		USA-FL	Human|USA	USA/FL-CDC-ASC210119084/2021
OK119994.1	Human	2021-08-12	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-ASC210192205/2021
OK176181.1	Human	2021-09-06	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_Y6VJHUAHGJK2FMJ6/2021
OK177731.1	Human	2021-09-07	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_BSAFIJQKB6RJIOEO/2021
OK177765.1	Human	2021-09-07	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_LDFJDMKD2KLWMCTZ/2021
OK177772.1	Human	2021-09-07	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_MCSU6SFRFNGOZKJI/2021
OK177797.1	Human	2021-09-07	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_TMJTZJAIZKX62AEO/2021
OK179639.1	Human	2021-09-10	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_E2XT7FAVXBWJDT55/2021
OK276436.1	Human	2021-08-27	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-LC0256309/2021
OK286946.1	Human	2021-09-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_7NJWPJMPWMLCLOBL/2021
OK287000.1	Human	2021-09-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_RDSMN4EQQW5ZPA2K/2021
OK352897.1	Human	2021-09-20	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_HCV46IFXYC5HY3KH/2021
OK352904.1	Human	2021-09-22	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_KKJW7PACUD6EYFXZ/2021
OK352911.1	Human	2021-09-20	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_OKGID237HB4YWQEJ/2021
OK353553.1	Human	2021-09-21	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_NVE6DG4X4QUUIR2Z/2021
OK403350.1	Human	2021-08-16	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-ASC210278010/2021
OK428432.1	Human	2021-09-23	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_AXE2UYWFIKHF7FEJ/2021
OK428453.1	Human	2021-09-24	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_HPUPLSFQ5AL4MHR6/2021
OK443367.1	Human	2021-09-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-QDX28938923/2021
OK443635.1	Human	2021-09-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-QDX28938927/2021
OK463722.1	Human	2021-09-22	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-QDX29125634/2021
OK575658.1	Human	2021-10-08	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_KVUBSXHEL7BLDOJG/2021
OK591210.1	Human	2021-10-12	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_LJPUMDWLHKAL75PX/2021
OK712766.1	Human	2021-10-14	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_MWYQNUS353RVZQYW/2021
OK712788.1	Human	2021-10-14	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_RF55UV4CZYWOPQVG/2021
OK712805.1	Human	2021-10-14	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_W2BIDO6TWSDEFNFD/2021
OL304737.1	Human	2021-10-19	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_AETEIXI3KHWHQ6GR/2021
OL360169.1	Human	2021-10-18	USA	Vermont		USA-VT	Human|USA	USA/VT-CDC-QDX30240409/2021
OL362900.1	Human	2021-10-27	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_XGBVQZOERBOD7FDH/2021
OL406756.1	Human	2021-10-31	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_QNBPQWZTDUW3D55B/2021
OL545631.1	Human	2021-11-07	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_HHOP7IWO2REJHMAJ/2021
OL545701.1	Human	2021-11-08	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_MWP2FW6VVGDMJQ75/2021
OL545998.1	Human	2021-11-08	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_66GFWJPUBLMKG6RC/2021
OL546091.1	Human	2021-11-08	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_UCU6OE54XDU6EM5E/2021
OL564517.1	Human	2021-10-29	USA	Massachusetts		USA-ME	Human|USA	USA/ME-CDC-ASC210447903/2021
OL599608.1	Human	2021-11-10	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_6I2Y3E7BT2JK4N24/2021
OL661996.1	Human	2021-11-16	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_URZHF7MYVPOJIBR5/2021
OL662092.1	Human	2021-11-15	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_6D573IYXNSEZFMSF/2021
OL662700.1	Human	2021-11-15	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_ITZDU7EEMDEHZE64/2021
OL662701.1	Human	2021-11-15	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_IYX5JRHV3P3V2YDK/2021
OL662716.1	Human	2021-11-15	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_LVASKRPVJJ6R4CJ7/2021
OL718610.1	Human	2021-11-20	USA	Vermont		USA-VT	Human|USA	USA/VT-CDCBI-CRSP_6KKBDPHAUWLICYW3/2021
OL846289.1	Human	2021-12-01	USA	Massachusetts		USA-MA	Human|USA	USA/MA-CDCBI-CRSP_MQVYXL5AXPMPIHZW/2021
OP930368.1	Human	2021-08-23	USA	South Dakota		USA-TB	Human|USA	USA/TB-90020432/2021
Canada/QC-L00415260001B/2021	Human	2021-11-29	Canada	Quebec		CAN-QC	Human|Canada	EPI_ISL_11179130
USA/CT-Yale-12907/2021	Human	2021-10-31	USA	Connecticut		USA-CT	Human|USA	EPI_ISL_6483337
